FrameNum CenterX(mm) CenterY(mm) Areas
821 247.34 167.41 Floor
822 246.72 167.34 Floor
823 245.76 167.13 Floor
824 244.47 166.87 Floor
825 242.90 166.72 Floor
826 241.20 166.63 Floor
827 NaN NaN Floor
828 238.20 166.97 Floor
829 236.82 167.37 Floor
830 235.76 167.90 Floor
831 234.78 168.33 Floor
832 234.00 168.53 Floor
833 233.39 168.58 Floor
834 232.84 168.48 Floor
835 232.36 168.25 Floor
836 231.91 167.86 Floor
837 231.58 167.29 Floor
838 231.04 166.57 OBJG
839 230.46 165.72 OBJG
840 230.06 164.75 OBJG
841 229.56 163.71 OBJG
842 229.09 162.56 OBJG
843 228.58 161.35 OBJG
844 228.15 160.19 OBJG
845 227.79 159.15 OBJG
846 227.52 158.27 OBJG
847 227.21 157.50 OBJG
848 226.83 156.91 OBJG
849 226.48 156.47 OBJG
850 226.17 156.18 OBJG
851 225.98 156.17 OBJG
852 225.76 156.18 OBJG
853 225.40 156.14 OBJG
854 224.99 156.11 OBJG
855 224.40 156.09 OBJG
856 223.69 155.87 OBJG
857 222.90 155.51 OBJG
858 222.24 155.04 OBJG
859 221.84 154.50 OBJG
860 221.74 154.07 OBJG
861 221.89 153.76 OBJG
862 222.18 153.51 OBJG
863 222.46 153.39 OBJG
864 222.67 153.39 OBJG
865 222.71 153.44 OBJG
866 222.52 153.35 OBJG
867 222.17 153.21 OBJG
868 221.66 152.93 OBJG
869 221.24 152.82 OBJG
870 220.93 152.97 OBJG
871 220.58 153.16 OBJG
872 220.08 153.23 OBJG
873 219.46 153.22 OBJG
874 218.76 153.04 OBJG
875 NaN NaN OBJG
876 217.12 152.15 OBJG
877 216.16 151.47 OBJG
878 215.28 150.75 OBJG
879 214.67 150.32 OBJG
880 214.33 150.12 OBJG
881 214.12 150.01 OBJG
882 213.95 149.90 Floor
883 213.88 149.87 Floor
884 213.91 149.88 Floor
885 213.98 149.89 Floor
886 213.98 149.89 Floor
887 213.95 149.87 Floor
888 213.90 149.81 Floor
889 213.76 149.75 Floor
890 213.59 149.67 Floor
891 213.36 149.57 Floor
892 213.11 149.41 Floor
893 212.89 149.25 Floor
894 212.67 149.00 Floor
895 212.49 148.81 Floor
896 212.43 148.80 Floor
897 212.37 148.75 Floor
898 212.24 148.64 Floor
899 212.05 148.53 Floor
900 211.83 148.40 Floor
901 211.56 148.24 Floor
902 211.34 148.06 Floor
903 211.11 147.88 Floor
904 210.88 147.65 Floor
905 210.82 147.61 Floor
906 210.93 147.76 Floor
907 210.97 147.80 OBJG
908 211.01 147.88 OBJG
909 211.08 147.98 OBJG
910 211.23 148.14 OBJG
911 211.40 148.37 OBJG
912 211.57 148.63 OBJG
913 211.76 148.93 OBJG
914 212.03 149.30 OBJG
915 212.18 149.55 OBJG
916 212.39 149.93 OBJG
917 212.60 150.30 OBJG
918 212.83 150.66 OBJG
919 213.11 150.98 Floor
920 213.40 151.35 Floor
921 213.69 151.69 Floor
922 214.01 152.07 Floor
923 214.25 152.40 Floor
924 214.35 152.75 Floor
925 214.29 153.08 Floor
926 214.15 153.56 Floor
927 213.93 154.11 Floor
928 213.56 154.71 Floor
929 213.07 155.28 Floor
930 212.34 155.85 Floor
931 211.53 156.34 Floor
932 NaN NaN Floor
933 209.14 156.93 Floor
934 207.52 157.05 Floor
935 205.74 157.12 Floor
936 NaN NaN Floor
937 NaN NaN Floor
938 NaN NaN Floor
939 NaN NaN Floor
940 NaN NaN Floor
941 NaN NaN Floor
942 NaN NaN Floor
943 NaN NaN Floor
944 NaN NaN Floor
945 187.54 157.16 Floor
946 185.62 157.39 Floor
947 184.42 157.62 Floor
948 184.03 157.82 Floor
949 184.57 157.98 Floor
950 186.22 158.08 Floor
951 186.72 158.05 Floor
952 186.90 158.01 Floor
953 186.88 157.95 Floor
954 186.81 157.90 Floor
955 186.65 157.90 Floor
956 186.38 157.92 Floor
957 186.16 157.92 Floor
958 185.90 157.92 Floor
959 185.52 157.92 Floor
960 185.21 157.92 Floor
961 184.96 157.94 Floor
962 184.93 157.91 Floor
963 185.12 157.89 Floor
964 185.47 157.90 Floor
965 185.91 157.88 Floor
966 186.40 157.87 Floor
967 186.85 157.83 Floor
968 187.25 157.76 Floor
969 187.52 157.65 Floor
970 187.78 157.53 Floor
971 188.00 157.41 Floor
972 188.20 157.34 Floor
973 188.11 157.49 Floor
974 188.01 157.81 Floor
975 187.76 158.33 Floor
976 187.14 159.19 Floor
977 186.42 160.27 Floor
978 185.60 161.52 Floor
979 NaN NaN Floor
980 183.88 163.97 Floor
981 183.03 164.93 Floor
982 182.15 165.73 Floor
983 181.40 166.23 Floor
984 180.93 166.45 Floor
985 180.56 166.51 Floor
986 180.04 166.69 Floor
987 179.60 166.85 Floor
988 179.14 167.03 Floor
989 178.42 167.29 Floor
990 177.45 167.56 Floor
991 176.21 167.87 Floor
992 174.78 168.33 Floor
993 173.38 168.83 Floor
994 172.01 169.49 Floor
995 170.85 170.30 Floor
996 169.97 171.24 Floor
997 169.47 172.02 Floor
998 169.42 172.58 Floor
999 169.49 173.00 Floor
1000 169.66 173.14 Floor
1001 169.79 173.13 Floor
1002 169.73 173.13 Floor
1003 169.57 173.12 Floor
1004 169.27 173.24 Floor
1005 169.00 173.49 Floor
1006 168.70 173.77 Floor
1007 168.55 174.00 Floor
1008 168.39 174.26 Floor
1009 168.23 174.55 Floor
1010 168.02 174.86 Floor
1011 167.81 175.22 Floor
1012 167.56 175.70 Floor
1013 167.24 176.27 Floor
1014 166.96 176.87 Floor
1015 166.68 177.43 Floor
1016 166.33 177.91 Floor
1017 166.08 178.16 Floor
1018 165.68 178.36 Floor
