FrameNum CenterX(mm) CenterY(mm) Areas
925 81.96 164.89 Floor
926 82.55 166.44 Floor
927 83.26 167.76 Floor
928 83.88 168.74 Floor
929 84.22 169.44 Floor
930 84.25 169.95 Floor
931 83.98 170.40 Floor
932 83.67 170.77 Floor
933 83.46 170.96 Floor
934 83.51 171.06 Floor
935 83.91 171.18 Floor
936 84.68 171.48 Floor
937 85.87 171.98 Floor
938 87.28 172.66 Floor
939 88.86 173.50 Floor
940 90.54 174.47 Floor
941 92.22 175.68 Floor
942 93.92 177.03 Floor
943 95.54 178.39 Floor
944 97.16 179.78 Floor
945 98.90 181.20 Floor
946 100.63 182.44 Floor
947 102.41 183.41 Floor
948 104.21 184.06 Floor
949 106.32 184.41 Floor
950 108.90 184.47 Floor
951 111.96 184.35 Floor
952 115.55 184.22 Floor
953 NaN NaN Floor
954 NaN NaN Floor
955 NaN NaN Floor
956 NaN NaN Floor
957 NaN NaN Floor
958 NaN NaN Floor
959 NaN NaN Floor
960 NaN NaN Floor
961 NaN NaN Floor
962 NaN NaN Floor
963 NaN NaN Floor
964 NaN NaN Floor
965 NaN NaN Floor
966 168.43 186.63 Floor
967 179.80 187.03 Floor
968 NaN NaN Floor
969 NaN NaN Floor
970 204.91 186.08 Floor
971 NaN NaN Floor
972 210.38 184.22 Floor
973 NaN NaN Floor
974 218.47 183.37 Floor
975 222.30 183.34 Floor
976 226.07 183.59 Floor
977 229.56 183.82 Floor
978 232.73 183.85 Floor
979 235.39 183.72 Floor
980 237.57 183.38 Floor
981 239.06 182.92 Floor
982 239.87 182.41 Floor
983 240.39 181.91 Floor
984 240.65 181.51 Floor
985 240.88 181.38 Floor
986 241.20 181.48 Floor
987 241.57 181.71 Floor
988 241.95 182.01 Floor
989 242.19 182.38 Floor
990 242.27 182.71 Floor
991 242.20 182.94 Floor
992 242.10 183.01 Floor
993 242.01 182.94 Floor
994 241.89 182.83 Floor
995 241.73 182.78 Floor
996 241.63 182.78 Floor
997 241.58 182.81 Floor
998 241.55 182.83 Floor
999 241.59 182.91 Floor
1000 241.67 182.98 Floor
1001 241.84 183.05 Floor
1002 242.11 183.11 Floor
1003 242.35 183.14 Floor
1004 242.57 183.19 Floor
1005 242.69 183.27 Floor
1006 242.68 183.31 Floor
1007 242.53 183.28 Floor
1008 242.25 183.16 Floor
1009 241.81 183.01 Floor
1010 241.29 182.78 Floor
1011 240.83 182.52 Floor
1012 240.42 182.23 Floor
1013 240.18 181.95 Floor
1014 240.08 181.70 Floor
1015 240.08 181.58 Floor
1016 240.16 181.50 Floor
1017 240.42 181.50 Floor
1018 240.82 181.52 Floor
1019 241.21 181.56 Floor
1020 241.61 181.56 Floor
1021 242.09 181.57 Floor
1022 242.54 181.52 Floor
1023 243.01 181.39 Floor
1024 243.42 181.24 Floor
1025 243.82 181.06 Floor
1026 244.23 180.86 Floor
1027 244.68 180.64 Floor
1028 245.03 180.42 Floor
1029 245.20 180.28 Floor
1030 245.16 180.19 Floor
1031 244.95 180.23 Floor
1032 244.67 180.36 Floor
1033 244.30 180.55 Floor
1034 243.95 180.87 Floor
1035 243.72 181.17 Floor
1036 243.62 181.44 Floor
1037 243.62 181.67 Floor
1038 243.65 181.82 Floor
1039 243.67 181.94 Floor
1040 243.64 181.96 Floor
1041 243.59 181.89 Floor
1042 243.55 181.72 Floor
1043 243.44 181.45 Floor
